Rank,Seassons played,Club,Played games,Victories,Draw,Loss,Goals scored,Goals conceded,Goal difference,Points
1,85,Malmö FF,2069,1038,523,508,3732,2416,1316,3637
2,88,IFK Göteborg,2121,1000,512,609,3896,2823,1073,3512
3,92,AIK,2217,958,584,675,3668,2945,723,3458
4,80,IFK Norrköping,1927,845,476,606,3411,2739,672,3011
5,77,IF Elfsborg,1876,761,471,644,3139,2870,269,2754
6,68,Helsingborgs IF,1653,722,359,572,3033,2565,468,2525
7,65,Djurgårdens IF,1613,669,396,548,2564,2240,324,2403
8,56,Örgryte IS,1306,487,321,498,2153,2048,105,1782
9,54,Halmstads BK,1349,466,349,534,1888,2067,−179,1747
10,52,Örebro SK,1308,465,337,506,1792,1952,−160,1732
11,54,Gais,1253,464,294,495,1969,2029,−60,1686
12,52,Hammarby IF,1292,454,309,529,1918,2092,−174,1668
13,33,Kalmar FF,878,308,233,337,1097,1216,−119,1157
14,33,Östers IF,794,295,231,268,1166,1014,152,1116
15,34,Landskrona BoIS,800,261,194,345,1207,1501,−294,977
16,29,Degerfors IF,658,234,156,268,1022,1102,−80,858
17,20,BK Häcken,564,204,152,208,836,789,47,764
18,20,Åtvidabergs FF,512,177,118,217,713,766,−53,649
19,21,Sandvikens IF,471,165,81,225,775,948,−173,576
20,18,Trelleborgs FF,476,134,121,221,552,766,−214,523
21,18,IK Brage,408,126,109,173,493,655,−162,487
22,19,GIF Sundsvall,498,112,145,241,553,835,−282,481
23,16,IK Sleipner,352,137,61,154,702,738,−36,472
24,16,Gefle IF,434,116,119,199,488,710,−222,467
25,13,IFK Malmö,297,90,63,144,428,619,−191,333
26,14,IFK Eskilstuna,317,86,59,172,560,850,−290,317
27,12,Jönköpings Södra IF,280,81,71,128,392,568,−176,314
28,9,Mjällby AIF,250,72,62,116,282,377,−95,278
29,10,Västra Frölunda IF,240,64,65,111,266,395,−129,257
30,11,IS Halmia,244,61,48,135,351,539,−188,231
31,8,Gårda BK,176,53,52,71,233,324,−91,211
32,7,IK Sirius,194,51,48,95,224,348,−124,201
33,5,Östersunds FK,151,53,40,58,197,225,−28,199
34,6,IF Brommapojkarna,176,38,38,100,159,324,−165,152
35,5,IFK Sundsvall,130,36,37,57,161,236,−75,145
36,5,Falkenbergs FF,150,29,30,91,158,306,−148,117
37,4,Västerås SK,96,23,17,56,101,217,−116,86
38,3,Syrianska FC,90,20,16,54,88,153,−65,76
39,2,Råå IF,44,16,8,20,66,85,−19,56
40,2,Ljungskile SK,56,11,11,34,54,109,−55,44
41,2,AFC Eskilstuna,60,8,16,36,51,110,−59,40
42,1,Varbergs BoIS,30,10,7,13,45,44,1,37
43,2,Westermalms IF,44,10,7,27,69,120,−51,37
44,1,Umeå FC,26,8,6,12,35,45,−10,30
45,2,IFK Uddevalla,44,6,12,26,58,114,−56,30
46,2,Hallstahammars SK,44,6,12,26,56,114,−58,30
47,2,Stattena IF,44,8,4,32,58,155,−97,28
48,1,Motala AIF,33,6,7,20,35,68,−33,25
49,1,Dalkurd FF,30,6,6,18,30,57,−27,24
50,1,Redbergslids IK,22,5,5,12,35,60,−25,20
51,1,Ludvika FK,22,6,2,14,30,56,−26,20
52,1,IK Oddevold,26,5,4,17,20,43,−23,19
53,1,IFK Luleå,22,4,6,12,20,44,−24,18
54,1,IF Saab,26,4,6,16,26,53,−27,18
55,1,Reymersholms IK,22,4,4,14,27,57,−30,16
56,1,Norrby IF,22,3,6,13,30,52,−22,15
57,1,BK Derby,26,3,6,17,18,53,−35,15
58,1,Assyriska FF,26,4,2,20,17,52,−35,14
59,1,Brynäs IF,26,2,8,16,27,63,−36,14
60,1,Enköpings SK,26,3,5,18,22,59,−37,14
61,1,Högadals IS,22,3,3,16,24,56,−32,12
62,1,Västerås IK,22,2,5,15,21,66,−45,11
63,1,IFK Holmsund,22,3,1,18,24,79,−55,10
64,1,Sandvikens AIK,22,2,1,19,24,72,−48,7
65,1,IK City,22,1,4,17,32,83,−51,7
66,1,Billingsfors IK,22,0,3,19,28,84,−56,3
