Club,Coach,Started,Assistant coach
AIK,Bartosz Grzelak,2020-07-31,"Patric Jildefalk, Sean O'Shea"
BK Häcken,Andreas Alm,2017-12-08,"Christian Lundströmm, Teddy Olausson"
Djurgårdens IF,"Kim Bergstrand, Thomas Lagerlöf",2018-11-16,"Hugo Berggren, Nikos Gkoulios"
Falkenbergs FF,Hans Eklund,2014-11-26,Jonas Axeldahl
Hammarby IF,Stefan Billborn,2018-01-10,Joachim Björklund
Helsingborgs IF,Olof Mellberg,2019-09-03,Alexander Tengryd
IF Elfsborg,Jimmy Thelin,2017-12-06,"Tobias Linderoth, Miguel Angel Beas Martinez"
IFK Göteborg,Poya Asbaghi,2017-11-20,Ferran Sibila
IFK Norrköping,Jens Gustafsson,2016-06-01,"Stefan Hellberg, Maths Elfvendal"
IK Sirius,Henrik Rydström,2018-12-10,Mirza Jelečak
Kalmar FF,Nanne Bergstrand,2019-12-13,
Malmö FF,Jon Dahl Tomasson,2020-01-05,"Remy Reynierse, Daniel Bäckström"
Mjällby AIF,Marcus Lantz,2019-12-10,"Juan Robledo, Christian Järdler"
Varberg BoIS,Joakim Persson,2017-11-28,Fredrik Danielsson
Örebro SK,Axel Kjäll,2017-08-23,
Östersunds FK,Amir Azrafshan,2020-07-11,"Brian Wake, Joe Sargison"
