Rank,Player,Transfer amount (SEK),From,To,Year
1,Alexander Isak,85000000,AIK,Borussia Dortmund,2017
2,Zlatan Ibrahimović,82500000,Malmö FF,Ajax,2001
3,Benjamin Nygren,53000000,IFK Göteborg,KRC Genk,2019
4,Marcus Danielson,50800000,Djurgårdens IF,Dalian Yifang FC,2020
5,Kristoffer Olsson,50000000,AIK,FKasnodar,2019
6,Mattias Svanberg,46000000,Malmö FF,Bologna,2018
7,Markus Rosenberg,45000000,Malmö FF,Ajax,2005
8,Afonso Alves,42000000,Malmö FF,Heerenveen,2006
9,Viðar Örn Kjartansson,41000000,Malmö FF,Maccabi Tel Aviv,2016
10,Saman Ghoddos,41000000,Östersunds FK,Amiens,2018
11,Arnór Sigurðsson,41000000,IFK Norrköping,CSKA Moskva,2018
12,Ola Toivonen,40000000,Malmö FF,PSV,2009
13,Fredrik Ljungberg,40000000,Halmstads BK,Arsenal,1998
14,Michael Olunga,40000000,Djurgårdens IF,Guizhou Hengfeng Zhicheng,2017
15,Ari,40000000,Kalmar FF,AZ,2007
16,Isaac Kiese Thelin,38000000,Malmö FF,Bordeaux,2015
17,Marcus Berg,38000000,IFK Göteborg,Groningen,2007
18,Pontus Dahlberg,35000000,IFK Göteborg,Watford,2018
19,Alexander Gerndt,35000000,Helsingborgs IF,Utrecht,2011
20,Emir Bajrami,35000000,IF Elfsborg,Twente,2010
21,Emil Forsberg,35000000,Malmö FF,RB Leipzig,2015
22,Tokelo Rantie,35000000,Malmö FF,Bournemouth,2013
23,Rasmus Elm,30000000,Kalmar FF,AZ,2009
24,Pontus Wernbloom,30000000,IFK Göteborg,AZ,2009
