Rank,Club,Gold,Big silver,Small silver,Bronze,Points
1,Malmö FF,24,15,10,8,193
2,IFK Göteborg,13,13,16,10,146
3,IFK Norrköping,13,10,5,8,113
4,AIK,6,14,12,8,104
5,Helsingborgs IF,7,8,8,10,85
6,Djurgårdens IF,8,3,10,4,73
7,IF Elfsborg,6,7,6,8,71
8,Gais,4,4,4,4,44
9,Östers IF,4,3,3,3,38
10,Örgryte IS,2,2,6,6,34
11,Halmstads BK,4,2,2,2,32
12,Hammarby IF,1,2,3,3,20
13,Kalmar FF,1,2,2,3,18
14,Åtvidabergs FF,2,2,0,1,17
15,Örebro SK,0,2,2,4,14
16,Degerfors IF,0,2,2,2,12
17,IK Sleipner,1,1,1,1,11
18,BK Häcken,0,1,1,1,6
19,Landskrona BoIS,0,0,1,3,5
,Sandvikens IF,0,0,1,3,5
21,IFK Malmö,0,1,0,0,3
,Jönköpings Södra IF,0,1,0,0,3
,Råå IF,0,1,0,0,3
24,Trelleborgs FF,0,0,1,1,3
25,IK Brage,0,0,0,3,3
